gene	pathway
10312	hsa00190:K02154:
10312	hsa04142:K02154:
10312	hsa04145:K02154:
10312	hsa04721:K02154:
10312	hsa04966:K02154:
10312	hsa05110:K02154:
10312	hsa05120:K02154:
10312	hsa05152:K02154:
10312	hsa05165:K02154:
10312	hsa05323:K02154:
10313	hsa05010:K20723:
10316	hsa04080:K05052:
10317	hsa00601:K03877:[EC:2.4.1.-]
10317	hsa00603:K03877:[EC:2.4.1.-]
10319	hsa04151:K06247:
10319	hsa04510:K06247:
10319	hsa04512:K06247:
10319	hsa05145:K06247:
10319	hsa05146:K06247:
10319	hsa05165:K06247:
10319	hsa05200:K06247:
10319	hsa05222:K06247:
1031	hsa01522:K06622:
1031	hsa04110:K06622:
1031	hsa04934:K06622:
1031	hsa05166:K06622:
1031	hsa05202:K06622:
10325	hsa04140:K16185:
10325	hsa04150:K16185:
10326	hsa04380:K06551:
10327	hsa00010:K00002:[EC:1.1.1.2]
10327	hsa00040:K00002:[EC:1.1.1.2]
